"fecha_completa","agno","mes","dia","nombre_dia","nombre_mes","trimestre","temporada","es_fin_semana","id_fecha"
"2025-03-01",2025,3,1,"Sábado","Marzo",1,"invierno","es_fin_semana",0
"2025-03-02",2025,3,2,"Domingo","Marzo",1,"invierno","es_fin_semana",1
"2025-03-03",2025,3,3,"Lunes","Marzo",1,"invierno","no_es_fin_semana",2
"2025-03-04",2025,3,4,"Martes","Marzo",1,"invierno","no_es_fin_semana",3
"2025-03-05",2025,3,5,"Miércoles","Marzo",1,"invierno","no_es_fin_semana",4
"2025-03-06",2025,3,6,"Jueves","Marzo",1,"invierno","no_es_fin_semana",5
"2025-03-07",2025,3,7,"Viernes","Marzo",1,"invierno","no_es_fin_semana",6
"2025-03-08",2025,3,8,"Sábado","Marzo",1,"invierno","es_fin_semana",7
"2025-03-09",2025,3,9,"Domingo","Marzo",1,"invierno","es_fin_semana",8
"2025-03-10",2025,3,10,"Lunes","Marzo",1,"invierno","no_es_fin_semana",9
"2025-03-11",2025,3,11,"Martes","Marzo",1,"invierno","no_es_fin_semana",10
"2025-03-12",2025,3,12,"Miércoles","Marzo",1,"invierno","no_es_fin_semana",11
"2025-03-13",2025,3,13,"Jueves","Marzo",1,"invierno","no_es_fin_semana",12
"2025-03-14",2025,3,14,"Viernes","Marzo",1,"invierno","no_es_fin_semana",13
"2025-03-15",2025,3,15,"Sábado","Marzo",1,"invierno","es_fin_semana",14
"2025-03-16",2025,3,16,"Domingo","Marzo",1,"invierno","es_fin_semana",15
"2025-03-17",2025,3,17,"Lunes","Marzo",1,"invierno","no_es_fin_semana",16
"2025-03-18",2025,3,18,"Martes","Marzo",1,"invierno","no_es_fin_semana",17
"2025-03-19",2025,3,19,"Miércoles","Marzo",1,"invierno","no_es_fin_semana",18
"2025-03-20",2025,3,20,"Jueves","Marzo",1,"primavera","no_es_fin_semana",19
"2025-03-21",2025,3,21,"Viernes","Marzo",1,"primavera","no_es_fin_semana",20
"2025-03-22",2025,3,22,"Sábado","Marzo",1,"primavera","es_fin_semana",21
"2025-03-23",2025,3,23,"Domingo","Marzo",1,"primavera","es_fin_semana",22
"2025-03-24",2025,3,24,"Lunes","Marzo",1,"primavera","no_es_fin_semana",23
"2025-03-25",2025,3,25,"Martes","Marzo",1,"primavera","no_es_fin_semana",24
"2025-03-26",2025,3,26,"Miércoles","Marzo",1,"primavera","no_es_fin_semana",25
"2025-03-27",2025,3,27,"Jueves","Marzo",1,"primavera","no_es_fin_semana",26
"2025-03-28",2025,3,28,"Viernes","Marzo",1,"primavera","no_es_fin_semana",27
"2025-03-29",2025,3,29,"Sábado","Marzo",1,"primavera","es_fin_semana",28
"2025-03-30",2025,3,30,"Domingo","Marzo",1,"primavera","es_fin_semana",29
"2025-03-31",2025,3,31,"Lunes","Marzo",1,"primavera","no_es_fin_semana",30
